##数据格式为:
##数据位置
##震相,相对时间（秒）,置信度,绝对时间（格式%Y-%m-%d %H:%M:%S.%f）,信噪比,前后200个采样点振幅均值,台站,初动,初动概率
#/Users/yuziye/Documents/GitHub/sage/pnsn/data/0521-0522foryangbi/YN.YSW03.00
Pg,172018.920,0.752,2021-05-22 23:46:58.925000,3.445,152.575491,YN.YSW03.00,N,0.000
Pg,61219.660,0.752,2021-05-21 17:00:19.665000,74.796,7430.806254,YN.YSW03.00,N,0.000
Pg,172560.920,0.752,2021-05-22 23:56:00.925000,15.441,1107.054038,YN.YSW03.00,N,0.000
Pg,69471.910,0.746,2021-05-21 19:17:51.915000,3.270,86.533530,YN.YSW03.00,N,0.000
Pg,106103.220,0.746,2021-05-22 05:28:23.225000,6.515,262.173580,YN.YSW03.00,N,0.000
Pg,67608.230,0.744,2021-05-21 18:46:48.235000,3.020,135.417176,YN.YSW03.00,N,0.000
Pg,147516.740,0.744,2021-05-22 16:58:36.745000,5.173,122.178513,YN.YSW03.00,N,0.000
Pg,78474.100,0.740,2021-05-21 21:47:54.105000,9.837,619.385272,YN.YSW03.00,N,0.000
Pg,131200.770,0.740,2021-05-22 12:26:40.775000,4.716,262.753637,YN.YSW03.00,N,0.000
Pg,54849.590,0.739,2021-05-21 15:14:09.595000,32.878,16724.472611,YN.YSW03.00,N,0.000
Pg,92744.800,0.739,2021-05-22 01:45:44.805000,8.252,280.608742,YN.YSW03.00,N,0.000
Pg,145998.240,0.739,2021-05-22 16:33:18.245000,5.013,111.353074,YN.YSW03.00,N,0.000
Pg,124464.220,0.738,2021-05-22 10:34:24.225000,3.239,106.633281,YN.YSW03.00,N,0.000
Pg,89932.710,0.738,2021-05-22 00:58:52.715000,45.892,3703.818510,YN.YSW03.00,N,0.000
Pg,155488.310,0.735,2021-05-22 19:11:28.315000,6.413,158.358049,YN.YSW03.00,N,0.000
Pg,165885.060,0.733,2021-05-22 22:04:45.065000,5.109,145.016848,YN.YSW03.00,N,0.000
Pg,158812.260,0.732,2021-05-22 20:06:52.265000,3.056,47.809026,YN.YSW03.00,N,0.000
